News Title,News Link,Publish Date,Description,Report Type,Accident Date,Time,Killed,Injured,Location,Road_Characteristic,Pedestrian_Involved,Vehicles Involved
Man killed as wall of under-construction building in Gendaria collapses on him,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/man-killed-wall-under-construction-building-gendaria-collapses-him-3712881,26-09-2024,"Amid incessive rain, a man was killed after a wall of an under-construction building collapsed in Dhaka's Gendaria area this afternoon.

The deceased was identified as Md Rasel, 35, an employee of a medicine shop in Mitford area.

The incident occurred around 2:00pm at Keranibari Bhattikhana area.

According to eyewitness Mohammad Raju, Rasel was passing by the building when the ground-floor wall suddenly collapsed, trapping him under the debris.

Locals immediately rescued him and took him to a nearby hospital, Raju said. Due to his deteriorating condition, Rasel was later transferred to Dhaka Medical College Hospital, where he was pronounced dead around 3:30 pm.

Inspector Md Faruk, in-charge of DMCH police outpost, said the body was sent to the morgue for autopsy. The local police station has been informed about it.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"1 dead, 10 hurt as bus skids off road, collapses on house",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/1-dead-10-hurt-bus-skids-road-collapses-house-3712136,25-09-2024,"A speeding passenger bus today skidded off the road, hit a pedestrian and collapsed on a roadside house in Bhuanpur upazila of Tangail, leaving one person dead and 10 others injured.

The deceased is Abdul Halim, 55, a stationary-shop owner from Kuthiboyra village in the upazila, reports our Tangail correspondent.

Police and witnesses said the Tarakandi-bound bus of SS Travel was in a race with another bus of Bhai Bhai Paribahan recklessly, when its driver lost control over steering, leading to the accident at Kuthiboyra Bazar Intersection.

The bus hit Halim who was passing by, leaving him dead on the spot. As it collapsed on the house, two women in it sustained injuries, alongside eight passengers of the bus.

On information, police went to the spot and recovered the injured and took them to a local hospital, said Rezaul Karim, officer-in-charge of Bhuanpur Police Station.

The bus driver and his helper managed to flee, he added.",Specific,25-09-2024, Not specified,1,10, Bhuanpur upazila of Tangail, Roadside, Yes,Bus-Bus
Oil tank blast kills manager of filling station in Nilphamari,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/oil-tank-blast-kills-manager-filling-station-nilphamari-3711931,25-09-2024,"The manager of a filling station was killed when an oil tank exploded during repair work at Abdullah Hatchery and Filling Station in Domar upazila of Nilphamari yesterday.

The deceased, Sohag Ali, 32, was the son of Irfan Ali from Litchutola village (Patwaripara) under Domar upazila, reports our Dinajpur correspondent.

Quoting local witnesses, Nur Alam, an official of the Fire Service and Civil Defence in Domar upazila, said today that leakage was detected in the oil tank of the petrol pump yesterday afternoon. The manager then called a technician for repairs.

During the welding work, Sohag was standing beside the tank. At one stage, the tank exploded, leaving Sohag critically injured.

Witnesses said one of his legs was blown off.

Sohag was rushed to Domar Upazila Health Complex and later referred to Rangpur Medical College Hospital as his condition deteriorated due to massive bleeding.

He died on the way to the RMCH around 8:00pm yesterday, said the fire service official.

Nur Alam claimed that the tank exploded because it was being welded while still containing fuel.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Father, daughter go missing in Dhaleswari river while learning how to swim",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/father-daughter-go-missing-dhaleswari-river-while-learning-how-swim-3711906,25-09-2024,"A man and his 11-year-old daughter went missing while she was learning how to swim in the Dhaleswari River in the Barahirchar area of Manikganj Sadar upazila early this morning, reports our Manikganj correspondent.

The missing individuals are Mohidur Rahman, 50, a businessman, and his daughter, Rafa Akhter, a seventh-grader at a local secondary school. They are residents of Char Jamalpur village in Singair upazila's Baira union.

Dewan Zahidur Rahman, leader of the diving team from Aricha River Fire Station said rescue operations are currently underway.

The incident occurred around 8:00am when Mohidur took Rafa to the Dhaleswari River at Barahirchar Kheyaghat to teach her to swim using a plastic bottle as a flotation device. At some point, the bottle's mouth opened, allowing water to enter, causing Rafa to sink. Locals said that Mohidur also disappeared while attempting to rescue his daughter.

After receiving information, a unit from Singair Fire Service and a diving team from Aricha River Fire Station arrived at the scene and initiated rescue operations.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Two traders killed in Jhenaidah road accident,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/two-traders-killed-jhenaidah-road-accident-3711171,24-09-2024,"Two traders were killed and another was injured as a mini truck rear-ended a truck in Jhenaidah's Sadar upazila early today.

The deceased were identified as Anisur Rahman, 65, a resident of Bara-Kaunia village in Faridpur's Salta upazila, and Farukh Matabbar, 45, of Bhawal village in the same upazila.

The two victims were travelling on the mini truck towards Meherpur from Faridpur to buy bananas, reports our Jhenaidah correspondent, quoting the fire service and locals.

Locals said the accident happened around 4:50am when the mini truck reached Sadhuhati on the Jhenaidah-Chuadanga highway and hit another truck from behind.

Anisur and Farukh were killed on the spot, while another person was injured. The truck driver fled the scene, they said.

Tanveer Hasan, inspector of Fire Service and Civil Defence in Jhenaidah, said they recovered the bodies and handed them over to police.

The injured person was sent to Jhenaidah Sadar Hospital, added Tanveer.",Specific,24-09-2024, 4:50,2,1," Sadhuhati, Jhenaidah's Sadar upazila", Highway, No,Mini truck-Truck
"1 killed, 8 hurt as truck falls on 2 auto-rickshaws in Karnaphuli bridge area",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/1-killed-8-hurt-truck-falls-2-auto-rickshaws-karnaphuli-bridge-area-3710716,24-09-2024,"A man was killed and eight others injured as a fish-laden truck turned upside down and fell on two CNG-run auto-rickshaws in the port city's Karnaphuli Shah Amanat Bridge area around 11:00pm yesterday.

The deceased could not be identified immediately, reports our Chattogram staff correspondent quoting police.

Contacted, Ikhtear Uddin, officer-in-charge of Bakalia Police Station, said, ""Primarily it is assumed that the driver of the truck lost control of the steering wheel.""

Contacted, Alauddin Talukder, in-charge of Chattogram Medical College Hospital police camp, said eight injured from the incident were admitted to the casualty ward of CMCH.",Specific,23-09-2024, 11:00pm,1,8," Karnaphuli Shah Amanat Bridge area, port city", Bridge, No,Truck-Auto-rickshaw
60 rooms of 4 colonies burnt in Kaliakair fire,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/60-rooms-4-colonies-burnt-kaliakair-fire-3710711,24-09-2024,"Sixty rooms of four colonies were burnt in a fire in Kaliakair of Gazipur last night.

The fire was brought under control after about an hour of efforts by four units of fire service, reports our Gazipur correspondent quoting fire service.

The incident took place in Mouchak Haji market area of ​​the upazila at 7:00pm on Monday.

Fire service said a fire broke out in a room of Sultan Mia's house in Mouchak Haji Market area of ​​the upazila around 7:00pm. The fire spread quickly, resulting in 60 rooms of four colonies getting burnt.

However, according to local sources, 45 rooms of Sultan Mia, 35 rooms of Akhil Mia, and 25 rooms of Shahadat Hossain were burnt to ashes.

Receiving information, four units of Kaliakair and Konabari Fire Service reached the spot at 7:30pm and brought the fire under control in about an hour, said Iftekar Hossain Raihan Chowdhury, station officer of Kaliakair Fire Service.

No casualty was reported in the fire.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Four dead, eight injured in Tangail bus-truck collision",https://www.dhakatribune.com/bangladesh/nation/360724/four-dead-eight-injured-in-tangail-bus-truck,4/10/2024,"Four people were killed and at least eight others were injured in a head-on collision between a bus and a truck in Kalihati, Tangail, in the early hours of Friday.

The identities of the deceased were not immediately available.

Nannu Khan, in charge of Elenga highway police outpost, said the collision took place at around 12:30am, leaving four bus passengers dead on the spot.

The injured were rushed to Tangail District Hospital, with three reported to be in critical condition.

He added that the bus and truck involved in the accident had been recovered, and the bodies of the deceased were being kept at the police outpost.",Specific,4/10/2024, 12:30am,4,8," Kalihati, Tangail", Highway, No,Bus-Truck
3 killed in Narail road accident,https://www.dhakatribune.com/bangladesh/nation/358046/3-dead-1-injured-in-narial-road-accident,11/9/2024,"Three people were killed and one was critically injured in a road accident in Lohagara, Narsingdi, around midnight on Tuesday.

The deceased were Shamim Sheikh, 20, Zia Biswas, 45, and Rasel Molla, 19.

According to police and local sources, Rasel’s grandmother had passed away, and four people were carrying a stretcher from the mosque to their home to move her body.

As they reached the Maita Kumra area on the Lohagara-Bhatiapara-Dhaka highway, a truck coming from Lohagara hit the stretcher-bearers.

As a result, three people died on the spot and one was critically injured.

The injured Quin Sheikh was initially taken to Lohagara Upazila Health Complex, where he received primary treatment before being referred to another facility for advanced care.

Lohagara police station Officer-in-Charge (OC) Abdullah Al Mamun said the bodies will be handed over to their families after the legal process is completed.",Specific,10/9/2024, Midnight,3,1," Lohagara, Narsingdi", Lohagara-Bhatiapara-Dhaka highway, Yes,Truck
5 killed as pickup hits autorickshaw in Bagerhat,https://www.dhakatribune.com/bangladesh/nation/357791/4-killed-as-pickup-hits-autorickshaw-in-bagerhat,9/9/2024,"Five passengers of a battery-run autorickshaw were killed in a head-on collision with a pickup van on the Khulna-Bagerhat highway in the Town Naoapara area of Bagerhat on Monday morning.

The deceased were Nipa Begum, 28, Md Masum, 30, Shawkat Ali, 40, Hiron Sheikh, 35, and Mosharaf Hossain Khandaker, 42.

Additional Superintendent of Police (Crime and Operations) Russelur Rahman said two passengers had died on the spot.

One person died while being taken to Fakirhat Upazila Health Complex, and two others died while being transferred to Khulna Medical College Hospital.",Specific,9/9/2024, Morning,5,0, Town Naoapara area of Bagerhat, Highway, No,Autorickshaw-Pickup van
Four killed in Comilla crash,https://www.dhakatribune.com/bangladesh/nation/357461/four-killed-in-microbus-bus-collision-in-comilla,6/9/2024,"Four passengers of a microbus were killed, and two others were injured in a collision with a bus in Chauddagram, Comilla, on the Dhaka-Chittagong highway.

The incident took place around 7am on Friday in the Nankara area of Batisa union, said Royesh Uddin, the in-charge of Miabazar Highway Police Outpost.

The identities of the deceased are yet to be determined.

According to locals, a microbus was stationed on the Dhaka-bound lane of the highway when a Star Line Paribahan bus, losing control, rear-ended the vehicle.

Four individuals died on the spot, while two others were rushed to the hospital in critical condition.

The police are working to confirm the identities of the deceased, and the bodies have been sent to Comilla Medical College Hospital for autopsy",Specific,6/9/2024, 7am,4,2," Nankara area of Batisa union, Chauddagram, Comilla", Dhaka-Chittagong highway, No,Microbus-Bus
"Four dead, eight injured in Tangail bus-truck collision",https://www.dhakatribune.com/bangladesh/nation/360724/four-dead-eight-injured-in-tangail-bus-truck,4/10/2024,"Four people were killed and at least eight others were injured in a head-on collision between a bus and a truck in Kalihati, Tangail, in the early hours of Friday.

The identities of the deceased were not immediately available.

Nannu Khan, in charge of Elenga highway police outpost, said the collision took place at around 12:30am, leaving four bus passengers dead on the spot.

The injured were rushed to Tangail District Hospital, with three reported to be in critical condition.

He added that the bus and truck involved in the accident had been recovered, and the bodies of the deceased were being kept at the police outpost.",Specific,4/10/2024, 12:30am,4,8," Kalihati, Tangail", Highway, No,Bus-Truck
"Report: Over 5,600 students killed in road accidents in 6 years",https://www.dhakatribune.com/bangladesh/351966/rsf-report-over-5-600-students-killed-in-road,13-07-2024,"At least 5,619 students have died in road accidents over the past five and a half years, from 2019 to June 2024, according to a report by the Road Safety Foundation (RSF).

These findings were disclosed during a press conference titled ""Student Fatalities in Road Accidents: Statistics and Analysis"" held at the RSF office in Dhaka on Saturday, marking the anniversary of the Mirsharai tragedy.

During this period, students comprised 16.29% of all road accident fatalities, with a total of 34,478 deaths reported.

The press conference underscored the urgent need for measures to enhance road safety due to the high number of student deaths.
• Our road accident prevention is spinning out

Mirsharai Tragedy Day is locally observed in memory of the 45 people, including 42 students, who died when a pickup truck carrying them overturned into a pond beside the road in Chittagong's Mirsharai on July 11, 2011.

The students were returning from the Bangabandhu-Bangamata Gold Cup football tournament at Mirsharai Stadium.

The report highlighted that 2,641 victims, aged between 5 and 17, were from schools and madrasas, representing 47% of the total student fatalities. Meanwhile, 2,978 victims, aged between 18 and 25, were from colleges and universities, making up 53%.

Additionally, the report revealed that around 833 students lost their lives over the past five and a half years due to carelessly crossing railway tracks and walking along rail lines while wearing headphones.

""Numerous major accidents have occurred since the tragic incident in Mirsharai. However, no long-term sustainable plan has been implemented to establish discipline in the road transport sector. The initiatives being taken are largely unscientific and uncoordinated,"" said Dr AI Mahbub Uddin Ahmed, RSF chairman and professor at the Department of Sociology at Dhaka University.

""To establish order in the chaotic road transport sector, a long-term, integrated sustainable transport strategy must be implemented,"" he added.

During the press conference, the RSF identified several reasons for student fatalities in road accidents, including faulty roads and unsafe vehicles, a lack of knowledge about safe road usage, and a tendency among students to ride motorcycles recklessly.

To prevent such accidents, the RSF made several recommendations, including prohibiting underage individuals from riding motorcycles, strictly enforcing road safety laws, organizing road safety campaigns in educational institutions, government initiatives to train teachers on road safety, introducing road safety topics in exams, banning unsafe vehicles, ensuring safety measures on roads near educational institutions, and raising public awareness about road safety.

The RSF also called for the national observance of ""Mirsharai Tragedy Day.""

They believe that recognizing this day on a national level will raise awareness about road safety among students through activities at educational institutions and express sympathy to the families of the deceased students.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
18 killed as bus collides with milk tanker in India,https://www.dhakatribune.com/world/south-asia/351639/18-killed-as-bus-collides-with-milk-tanker-in,10/7/2024,"At least 18 people were killed in north India after a bus collided with a milk tanker early on Wednesday, police said.

The collision on an expressway in the Unnao district of Uttar Pradesh state, about 500km southeast of Delhi, also injured at least 19 people, said Arvind Chaurasia, a top district police officer.

The bus was on its way to New Delhi from the eastern state of Bihar, he said, adding that police are still verifying how many passengers were on the bus.

""Injured passenger told us that the bus driver was driving recklessly, and the incident happened when he rammed the bus into a tanker carrying milk on the expressway,"" he said.",Specific,10/7/2024, early morning,18,19," Unnao district, Uttar Pradesh, India", expressway, No,Bus-Tanker
Bus-covered van collision leaves 4 dead in Bogra,https://www.dhakatribune.com/bangladesh/nation/351483/bus-covered-van-collision-leaves-4-dead-in-bogra,9/7/2024,"A head-on collision between a bus and a covered van has claimed at least four lives and injured seven others in Bogra.

The incident took place in the district’s Shahjahanpur area around 3:40am on Tuesday.

The deceased have been identified as Jamal Hossain, covered van driver Md Hridoy, Md Hossain, Shamim Hossain and Mosammat Jesmin.

The injured have been taken to Shaheed Ziaur Rahman Medical College Hospital.
• Our road accident prevention is spinning out

The matter has been confirmed by Shahjahanpur police station Officer-in-Charge (OC) Shahidul Islam.

The OC and members of the fire service said the Dhaka-bound covered van collided head-on with the Naogaon-bound Shah Fateh Ali Paribahan bus when it reached a filling station.

The driver of the covered van, Md Hridoy, and Mosammat Jesmin died on the spot.",Specific,9/7/2024, 3:40am,4,7," Shahjahanpur, Bogra", Not specified, No,Bus-Covered Van
Four of a family killed in Sirajganj road accident,https://www.dhakatribune.com/bangladesh/nation/355248/four-of-a-family-killed-in-sirajganj-road-accident,19-08-2024,"Four members of the same family were killed in a head-on collision between a truck and a car on the Hatikumrul-Banpara highway near Hatikumrul union of Sirajganj early on Monday.

The deceased were Jasim Uddin, 65, his wife Myna Khatun, 60, and their two sons, Jamal Uddin, 45, and Kamal Uddin, 40, all from Narsinghpur village in Bagmara upazila of Rajshahi.

The driver of the car sustained serious injuries and was hospitalized in critical condition.

Md Nurul Islam Babu from the Ullapara fire service said the car was coming from Dhaka to Rajshahi when it collided with a truck coming from the opposite direction at around 3:30am.

Upon receiving the news, fire service personnel rushed to the scene and recovered the bodies, which are now at Solonga police station.

Md Taj Uddin, investigating officer at the police station, confirmed the matter.

It is suspected that the truck driver managed to flee the scene with the vehicle as police have not been patrolling the highway since Hatikumrul highway police station was set on fire during an anti-discrimination protest on August 5.",Specific,19-08-2024, 3:30am,4,1, Hatikumrul-Banpara highway near Hatikumrul union of Sirajganj, Highway, No,Truck-Car
Four killed as private car hits tree in Pabna,https://www.dhakatribune.com/bangladesh/nation/351116/four-killed-as-private-car-hits-tree-in-pabna,5/7/2024,"Four people were killed and three others sustained injuries when a private car hit a roadside tree near Dasuadia Sugar Mill on the Pabna-Ishwardi highway in Ishwardi upazila of Pabna on Thursday night.

The identities of the deceased and injured have not yet been officially confirmed.
• Our road accident prevention is spinning out

Ishwardi Police Station Officer-in-Charge Belal Uddin Jahangir said that the accident occurred around 9pm as the Pabna-bound private car hit the tree after its driver lost control over the wheels, leaving three dead on the spot and four critically injured.

The injured were rushed to a nearby hospital after being rescued.",Specific,4/7/2024, 21:00,4,3," Near Dasuadia Sugar Mill, Pabna-Ishwardi highway, Ishwardi upazila, Pabna", Highway, No,Private car
9 killed as car drives into crowd near Seoul city hall,https://www.dhakatribune.com/world/asia/350767/9-killed-as-car-drives-into-crowd-near-seoul-city,1/7/2024,"A car hit pedestrians near Seoul city hall, killing nine people and injuring at least four, South Korean media reports said, citing police and fire officials.

A police official told Reuters officers were investigating at the scene, and declined to give further information.

YTN TV reported that the vehicle rammed into pedestrians standing on the crosswalk after hitting two other cars.

A police officer was administering CPR to a person on the ground at the site of the accident, according to a video provided by a witness to Reuters.",Specific,1/7/2024, Not specified,9,4, Near Seoul city hall, Crosswalk, Yes,Car
Two brothers killed as truck rams motorcycle in Dhaka,https://www.dhakatribune.com/bangladesh/dhaka/350447/one-dead-two-injured-in-khilkhet-pickup-truck,28-06-2024,"Two brothers were killed as a sand-laden truck hit their motorcycle in front of Sumatra Filling LPG Station on Kalshi Road in city’s Mirpur cantonment police station area around midnight on Thursday.

The deceased were identified as Sifatur Rahman Safin alias Rahul, 22 and his younger brother Rafi, 16.

Bachchu Miah, officer-in-charge (OC) of Dhaka Medical College and Hospital (DMCH) police outpost, confirmed the matter on Friday saying that Both were sons of Zahirul Islam Ponir, a resident of Baunia Badh area of Mirpur.

Sub-Inspector (SI) Tajul Islam of Cantonment Police Station said that they were heading towards Kalshi area from ECB Chattar and suddenly a truck hit the motorcycle, leaving them critically injured.

They were rushed to Kurmitola General Hospital and subsequently transferred them to DMCH, he said, adding that Rahul was declared dead around 3.30am while Rafi succumbed to his injuries around 8:30am, he said.

The bodies were handed over to the family, he said.

The driver fled the spot with the truck, he said, adding that legal action was taken in this regard.",Specific,27-06-2024, around midnight,2,0, Kalshi Road in city’s Mirpur cantonment police station area, Road, No,Truck-Motorcycle
8 killed in 2 accidents in Dinajpur,https://www.dhakatribune.com/bangladesh/nation/351127/5-including-child-killed-in-dinajpur-bus-truck,5/7/2024,"At least eight people were killed and dozens were injured in two accidents in Dinajpur on Friday.

A head-on collision between a mango-laden truck and a Thakurgaon-bound bus in Panchbari, Dinajpur Sadar upazila, on Friday morning left six people, including a child, dead and dozens injured.

The truck driver and the bus supervisor were among the victims.

Kotwali police station OC Farid Hossain said three people had died on the spot, adding that two more died after being taken to the hospital.

Another person died in the afternoon while undergoing treatment.

The injured were admitted to the local M Abdur Rahim Medical College Hospital.

The bus and truck, both wrecked in the crash, were removed from the road by a wrecker.

Notably, a motorcyclist was killed near the same spot after being run over by a truck on Thursday.

Meanwhile, vehicular movement was stopped after the accident, resuming after an hour.

Another accident took place following a head-on collision between a truck and a cattle-laden human hauler (locally known as Nasimon) in Fulbari upazila which left two dead and four injured.
• Our road accident prevention is spinning out

The deceased are the van's driver, Menhazul, 40, and a cattle trader Amun, 45.

The accident took place near the Fulbari Pourashava's Upazila Health Complex, along the Dinajpur-Gobindaganj Regional Highway.

Fulbari Police Station Officer-in-Charge Mostafizur Rahman said that the seriously injured, including the truck driver and three cattle traders, were promptly rescued and admitted to the Fulbari Upazila Health Complex for urgent medical treatment.

Legal procedures are underway regarding the incident, he added.",Specific,5/7/2024, Morning,6, Dozens," Panchbari, Dinajpur Sadar upazila", Not specified, No,Truck-Bus-Truck-Human Hauler
Eid journey: Road accidents kill 262 people in 13 days,https://www.dhakatribune.com/bangladesh/350083/eid-journey-road-accidents-kill-262-people-in-13,24-06-2024,"At least 262 people were killed and 543 were injured in 251 road crashes in the 13 days centring the Eid-ul-Azha holiday, Road Safety Foundation said on Monday.

Of the casualties, 104 were killed in 129 bike-related crashes between June 11 and June 23, which is 39.69% of the total deaths, RSF said through a press release.

The statistics indicated that bike-related deaths rose by 13.31% compared to the same period last year.

The foundation prepared the report compiling several media reports.

Referring to IRAP (International Road Assessment Program) method, the organization said the country incurred Tk998.55 crore loss of human resources due to the road crashes.",General,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
Barguna bridge collapse: 6-member probe body formed,https://www.dhakatribune.com/bangladesh/nation/350004/probe-committee-formed-to-investigate-as-bridge,23-06-2024,"A six-member probe committee has been formed to investigate the accident which occurred after a microbus carrying a wedding party plunged into a canal after a bridge collapsed in Amtali, Barguna, resulting in nine people killed.

The committee was formed on Saturday with the Barguna Additional Deputy Commissioner PIjus Chandra de as the convener and the Amtali Upazila Nirbahi Officer Md Ashraful Alamas the member secretary.

Barguna Deputy Commissioner Md Rafiqul Islam said: ""A six-member investigation committee has been formed. The committee will conduct an on-site investigation and submit a report within seven days.""

On Saturday, nine people, including three children, were killed in a road accident after a microbus carrying a wedding party plunged into a canal after a bridge collapsed in Amtali, Barguna.
• 9 killed as microbus carrying wedding party falls into canal in Barguna

The bride’s family and relatives travelled in a microbus and an auto-rickshaw to the groom’s house around 1:30pm. As the vehicles crossed the Haldiya Bridge, the central portion of the bridge collapsed, causing the vehicles to plunge into the river. The passengers in the auto-rickshaw managed to swim to safety, but those in the microbus drowned.

A total of nine bodies, including six women and three children, recovered.

Eyewitnesses said that as soon as the microbus and auto-rickshaw reached the middle of the bridge, it collapsed with a thud, causing the vehicles to fall into the river. They immediately tried to rescue the victims with the help of locals.

Later, the fire service and police joined the rescue operation.",Specific,22-06-2024, 1:30pm,9,0," Amtali, Barguna", Bridge, No,Microbus-Auto-rickshaw
9 killed as microbus carrying wedding party falls into canal in Barguna,https://www.dhakatribune.com/bangladesh/nation/349937/7-killed-as-microbus-carrying-wedding-party-falls,22-06-2024,"Nine people including three children were killed in a road accident after a microbus carrying a wedding party plunged into a canal after a bridge collapsed in Amtali, Barguna on Saturday.

The accident took place on a Haldiya bridge connecting Naura and Haldiya Bazar around 2pm, said Amtali police station Officer-in-Charge (OC) Shakhawat Hossain Tipu.

The tragic end of those people left the whole area in mourning, with the cries of the bereaved filling the air.

The bride’s family members and relatives were traveling in a microbus and an auto-rickshaw to the groom’s house around 1:30pm. As the vehicles crossed the Haldiya Bridge, the central portion of the bridge collapsed, causing the vehicles to plunge into the river. The passengers in the auto-rickshaw managed to swim to safety, but those in the microbus drowned, said the OC.

A total of nine bodies, including six women and three children, have been recovered, said the police official.

The victims were relatives of the bride.

The deceased are Rubia, 45, Raiti, 22, Fatema, 55, Rukaiyat Islam, 4, Tahiya Mehjabin Azad, 7, Tasfia, 14, Hridi, 4 and Ruby Begum, 35, of Madaripur's Shibchar upazila and Jakia Begum, 35 and her daughter Hridi of Amtali upazila's Haldia village.

The police, fire service, and residents carried out the rescue operations.

Asaduzzaman, chairman of the Haldia Union Parishad, said that the vehicle carrying mostly women and children sank in the canal while crossing a dilapidated bridge.

Eyewitnesses said that as soon as the microbus and auto-rickshaw reached the middle of the bridge, it collapsed with a thud, causing the vehicles to fall into the river.

They immediately tried to rescue the victims with the help of locals.

Later, the fire service and police joined the rescue operation.

Local residents reported that the bridge was quite old and had not been repaired for a long time.

Abul Kalam Azad, husband of a deceased, said: “I have lost everything. My two daughters and wife are dead. I am now helpless.”

Sohail Mia, who was in the microbus, said: “There were 16 passengers in the microbus heading to the groom’s house. As soon as we got on the Haldiya Hat Bridge, it collapsed, and the microbus fell into the river. Three of us managed to swim to safety. Later, locals, the fire service, and the police recovered nine bodies.”

The bodies were taken to Amtali Upazila Health Complex.

Following the incident, thousands of people protested, demanding justice for the victims and punishment for the contractor, one Shahidul Islam Mridha, who constructed the bridge around 10 years back.

Hearing the incident, local lawmaker Golam Sarwar Tuku, Deputy Commissioner Md Rafiqul Islam, Upazila Parishad Chairman Alhaj Golam Sarwar Forkan and others rushed to the spot.

Lawmaker Tuku said: “I have expressed condolences to the victims’ families at the hospital and visited the site. I have also calmed the agitated people at the site. If irregularities in the bridge construction led to this incident, an investigation will be conducted, and legal action will be taken. Financial assistance will be provided to the victims’ families.”

Deputy Commissioner Md Rafiqul Islam said he has visited the site. Legal action will be taken against the contractor for irregularities in the bridge construction.”

The bodies were handed over to the families without autopsies upon appeals from the victims’ families, said the OC.

Amtali Fire Service In-Charge Md Hanif said despite four hours of efforts they could not recover the microbus. The rescue operation was still going on.

There are allegations that contractor Mridha built the bridge poorly. As a result, the central beam of the bridge broke within five years of its construction. For the past ten years, around 50,000 people from Haldiya Union, Chawra, and nearby areas have been using the weakened bridge.

It was learned that in the fiscal year 2008-09, the iron bridge over the Chawra River at Haldiya Hat, was built at a cost of approximately Tk2 crore.

The construction contract was awarded to Mridha, the then-chairman of Haldiya Union Parishad and president of the local Awami League.

Denying the allegation, contractor Mridha claimed: “I constructed the bridge properly. There were no irregularities in the construction.”

Amtali Upazila Engineer Abdullah Al Mamun said: “The bridge was constructed before I joined Amtali. I have no knowledge about it.”",Specific,22-06-2024, 14:00,9,0," Amtali, Barguna", Bridge, No,Microbus-Auto-rickshaw
