News Title,News Link,Publish Date,Description,Report Type,Gemini_responses
Man crushed under wheels of train in Joypurhat,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/man-crushed-under-wheels-train-joypurhat-3714471,28-09-2024,"A man was killed after being hit by a train in Panchbibi upazila of Joypurhat today.

The deceased is Sukanta Barman, 28, of Ratanpur village under Panchbibi upazila of Joypurhat, reports our local correspondent quoting police.

Habib Rahman, officer-in-charge of Panchbibi Police Station said Sukanta was walking beside the rail tracks in Champatoli village on the southern ward of Bagjana Railway Station in the upazila.

Not paying attention to the repeated horns of Borendra Express, a intercity train heading toward Rajshahi from Chilahati, the man was hit by the train and died on the spot around 10:00am.

Later, the Joypurhat railway police recovered his body and handed it over to the family members, said the Panchbibi OC.",General,General
Three of a family injured in gas explosion,https://www.thedailystar.net/top-news/news/three-family-injured-gas-explosion-3714296,28-09-2024,"Three members of a family, including a child, were critically injured in a gas explosion in Dhaka's Shukrabad area early today.

The incident took place around 3:30am at their rented flat near the area's Bazar Mosque. The injured, Toton, 35, a worker at Karwan Bazar fish market, his wife Nipa Akter, 24, and their three-and-a-half-year-old physically disabled son Baizid were admitted to the Sheikh Hasina National Institute of Burn and Plastic Surgery, according to the victims' family.

As per Nipa's mother Rehana Begum, the couple rented the ground floor of the house this month.

""My daughter called me around 5:00am today. She said their house was on fire, desperately pleading to be saved,"" said Rehana, adding that the house owner and their neighbours rescued the victims and took them to the hospital.

According to Toton, his wife had gone to heat water in the kitchen, unaware of the gas line leakage and that led to this mishap.

Nipa suffered 50 percent burns on her body, Toton's body has 32 percent burns while Baizid suffered 45 percent burns on his body, said Tarikul Islam, resident doctor at the institute, adding that all three victims are in critical condition at the moment.",General,General
"DC’s vehicle veers off road, kills child",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/dcs-vehicle-veers-road-kills-child-3713026,27-09-2024,"A toddler was killed and his mother critically injured after they were hit by the SUV of Cox's Bazar deputy commissioner yesterday.

The crash happened as a motorcycle driving down the wrong side of the road fell under the wheel of the SUV, causing it to veer off course and hit the victims in the Mithachhari Kainnar Ghona area of Ramu, said Deputy Commissioner Mohammad Salauddin.

Tanzim, 2-year-old son of Mohammad Shahin and Rubina Akhter, was pronounced dead at a hospital, he added.

Rubina was taken to Chattogram Medical College Hospital with critical injuries.

Salauddin, who was in the vehicle, said a professional chauffeur was driving him to Ukhiya at the time.

He added that the motorcyclist, who was on the wrong side to avoid a pothole, lost control and fell trying to avert a direct collision with the SUV.

""As the front left tyre of the SUV got punctured, we immediately stopped a CNG-run three-wheeler and took the mother and the son to the nearby Hope Hospital and then to Cox's Bazar Sadar Hospital, where the child was declared dead around noon,"" the DC said.

Later the district administration made arrangements to send the mother to Chattogram Medical College Hospital.",Specific,"Specific<sep>Fri Sep 27, 2024<sep>Thu Sep 26, 2024<sep>Not mentioned<sep>1<sep>1<sep>Mithachhari Kainnar Ghona area of Ramu<sep>Not mentioned<sep>Yes<sep>SUV-motorcycle<sep>Cox’s Bazar"
Bodies of father and daughter recovered after drowning in Dhaleshwari river,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/bodies-father-and-daughter-recovered-after-drowning-dhaleshwari-river-3712896,26-09-2024,"The bodies of a father and his 11-year-old daughter were recovered from the Dhaleshwari river in Manikganj this morning, 25 hours after they went missing.

Md Istiaq Hossain, station officer of Singair Fire Service and Civil Defence Station, confirmed that locals spotted the bodies floating in the river around 9:00am.

""Upon receiving the information, our team recovered the bodies and handed them over to the family,"" he said.

The victims were identified as Mohidur Rahman, 50, a businessman from Char Jamalpur village in Singair upazila, and his daughter, Rafa Akhter, a seventh-grader at a local school.

The two had gone missing yesterday around 8:00am while Mohidur was teaching Rafa to swim near Barahirchar Kheyaghat area in the Sadar upazila, reports our Manikganj correspondent.

According to fire service officials, Rafa was using a plastic bottle as a flotation device, but when the bottle's cap opened, it filled with water, causing her to sink. Mohidur also drowned while attempting to save his daughter.

Rescue efforts were initiated by the Singair Fire Service, with a diving team from Aricha River Fire Station joining the search.

However, operations were suspended last night and resumed this morning.",General,General
Oil tank blast kills manager of filling station in Nilphamari,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/oil-tank-blast-kills-manager-filling-station-nilphamari-3711931,25-09-2024,"The manager of a filling station was killed when an oil tank exploded during repair work at Abdullah Hatchery and Filling Station in Domar upazila of Nilphamari yesterday.

The deceased, Sohag Ali, 32, was the son of Irfan Ali from Litchutola village (Patwaripara) under Domar upazila, reports our Dinajpur correspondent.

Quoting local witnesses, Nur Alam, an official of the Fire Service and Civil Defence in Domar upazila, said today that leakage was detected in the oil tank of the petrol pump yesterday afternoon. The manager then called a technician for repairs.

During the welding work, Sohag was standing beside the tank. At one stage, the tank exploded, leaving Sohag critically injured.

Witnesses said one of his legs was blown off.

Sohag was rushed to Domar Upazila Health Complex and later referred to Rangpur Medical College Hospital as his condition deteriorated due to massive bleeding.

He died on the way to the RMCH around 8:00pm yesterday, said the fire service official.

Nur Alam claimed that the tank exploded because it was being welded while still containing fuel.",General,General
"Father, daughter go missing in Dhaleswari river while learning how to swim",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/father-daughter-go-missing-dhaleswari-river-while-learning-how-swim-3711906,25-09-2024,"A man and his 11-year-old daughter went missing while she was learning how to swim in the Dhaleswari River in the Barahirchar area of Manikganj Sadar upazila early this morning, reports our Manikganj correspondent.

The missing individuals are Mohidur Rahman, 50, a businessman, and his daughter, Rafa Akhter, a seventh-grader at a local secondary school. They are residents of Char Jamalpur village in Singair upazila's Baira union.

Dewan Zahidur Rahman, leader of the diving team from Aricha River Fire Station said rescue operations are currently underway.

The incident occurred around 8:00am when Mohidur took Rafa to the Dhaleswari River at Barahirchar Kheyaghat to teach her to swim using a plastic bottle as a flotation device. At some point, the bottle's mouth opened, allowing water to enter, causing Rafa to sink. Locals said that Mohidur also disappeared while attempting to rescue his daughter.

After receiving information, a unit from Singair Fire Service and a diving team from Aricha River Fire Station arrived at the scene and initiated rescue operations.",General,General
Two traders killed in Jhenaidah road accident,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/two-traders-killed-jhenaidah-road-accident-3711171,24-09-2024,"Two traders were killed and another was injured as a mini truck rear-ended a truck in Jhenaidah's Sadar upazila early today.

The deceased were identified as Anisur Rahman, 65, a resident of Bara-Kaunia village in Faridpur's Salta upazila, and Farukh Matabbar, 45, of Bhawal village in the same upazila.

The two victims were travelling on the mini truck towards Meherpur from Faridpur to buy bananas, reports our Jhenaidah correspondent, quoting the fire service and locals.

Locals said the accident happened around 4:50am when the mini truck reached Sadhuhati on the Jhenaidah-Chuadanga highway and hit another truck from behind.

Anisur and Farukh were killed on the spot, while another person was injured. The truck driver fled the scene, they said.

Tanveer Hasan, inspector of Fire Service and Civil Defence in Jhenaidah, said they recovered the bodies and handed them over to police.

The injured person was sent to Jhenaidah Sadar Hospital, added Tanveer.",Specific,"Specific<sep>Tue Sep 24, 2024<sep>Tue Sep 24, 2024<sep>4:50am<sep>2<sep>1<sep>Sadhuhati on the Jhenaidah-Chuadanga highway<sep>highway<sep>No<sep>mini truck-truck<sep>Jhenaidah"
"1 killed, 8 hurt as truck falls on 2 auto-rickshaws in Karnaphuli bridge area",https://www.thedailystar.net/news/bangladesh/accidents-fires/news/1-killed-8-hurt-truck-falls-2-auto-rickshaws-karnaphuli-bridge-area-3710716,24-09-2024,"A man was killed and eight others injured as a fish-laden truck turned upside down and fell on two CNG-run auto-rickshaws in the port city's Karnaphuli Shah Amanat Bridge area around 11:00pm yesterday.

The deceased could not be identified immediately, reports our Chattogram staff correspondent quoting police.

Contacted, Ikhtear Uddin, officer-in-charge of Bakalia Police Station, said, ""Primarily it is assumed that the driver of the truck lost control of the steering wheel.""

Contacted, Alauddin Talukder, in-charge of Chattogram Medical College Hospital police camp, said eight injured from the incident were admitted to the casualty ward of CMCH.",Specific,"Specific<sep>Tue Sep 24, 2024<sep>Tue Sep 23, 2024<sep>11:00pm<sep>1<sep>8<sep>Karnaphuli Shah Amanat Bridge area<sep>Bridge area<sep>No<sep>truck-auto-rickshaws<sep>Chattogram"
60 rooms of 4 colonies burnt in Kaliakair fire,https://www.thedailystar.net/news/bangladesh/accidents-fires/news/60-rooms-4-colonies-burnt-kaliakair-fire-3710711,24-09-2024,"Sixty rooms of four colonies were burnt in a fire in Kaliakair of Gazipur last night.

The fire was brought under control after about an hour of efforts by four units of fire service, reports our Gazipur correspondent quoting fire service.

The incident took place in Mouchak Haji market area of ​​the upazila at 7:00pm on Monday.

Fire service said a fire broke out in a room of Sultan Mia's house in Mouchak Haji Market area of ​​the upazila around 7:00pm. The fire spread quickly, resulting in 60 rooms of four colonies getting burnt.

However, according to local sources, 45 rooms of Sultan Mia, 35 rooms of Akhil Mia, and 25 rooms of Shahadat Hossain were burnt to ashes.

Receiving information, four units of Kaliakair and Konabari Fire Service reached the spot at 7:30pm and brought the fire under control in about an hour, said Iftekar Hossain Raihan Chowdhury, station officer of Kaliakair Fire Service.

No casualty was reported in the fire.",General,General
"Four dead, eight injured in Tangail bus-truck collision",https://www.dhakatribune.com/bangladesh/nation/360724/four-dead-eight-injured-in-tangail-bus-truck,4/10/2024,"Four people were killed and at least eight others were injured in a head-on collision between a bus and a truck in Kalihati, Tangail, in the early hours of Friday.

The identities of the deceased were not immediately available.

Nannu Khan, in charge of Elenga highway police outpost, said the collision took place at around 12:30am, leaving four bus passengers dead on the spot.

The injured were rushed to Tangail District Hospital, with three reported to be in critical condition.

He added that the bus and truck involved in the accident had been recovered, and the bodies of the deceased were being kept at the police outpost.",Specific,"Specific<sep>04 Oct 2024<sep>04 Oct 2024<sep>12:30am<sep>4<sep>8<sep>Kalihati, Tangail<sep>highway<sep>No<sep>bus-truck<sep>Tangail"
3 killed in Narail road accident,https://www.dhakatribune.com/bangladesh/nation/358046/3-dead-1-injured-in-narial-road-accident,11/9/2024,"Three people were killed and one was critically injured in a road accident in Lohagara, Narsingdi, around midnight on Tuesday.

The deceased were Shamim Sheikh, 20, Zia Biswas, 45, and Rasel Molla, 19.

According to police and local sources, Rasel’s grandmother had passed away, and four people were carrying a stretcher from the mosque to their home to move her body.

As they reached the Maita Kumra area on the Lohagara-Bhatiapara-Dhaka highway, a truck coming from Lohagara hit the stretcher-bearers.

As a result, three people died on the spot and one was critically injured.

The injured Quin Sheikh was initially taken to Lohagara Upazila Health Complex, where he received primary treatment before being referred to another facility for advanced care.

Lohagara police station Officer-in-Charge (OC) Abdullah Al Mamun said the bodies will be handed over to their families after the legal process is completed.",Specific,"Specific<sep>11 Sep 2024, 11:15 AM<sep>10 Sep 2024<sep>midnight<sep>3<sep>1<sep>Maita Kumra area on the Lohagara-Bhatiapara-Dhaka highway<sep>highway<sep>Yes<sep>truck-pedestrians<sep>Narsingdi"
5 killed as pickup hits autorickshaw in Bagerhat,https://www.dhakatribune.com/bangladesh/nation/357791/4-killed-as-pickup-hits-autorickshaw-in-bagerhat,9/9/2024,"Five passengers of a battery-run autorickshaw were killed in a head-on collision with a pickup van on the Khulna-Bagerhat highway in the Town Naoapara area of Bagerhat on Monday morning.

The deceased were Nipa Begum, 28, Md Masum, 30, Shawkat Ali, 40, Hiron Sheikh, 35, and Mosharaf Hossain Khandaker, 42.

Additional Superintendent of Police (Crime and Operations) Russelur Rahman said two passengers had died on the spot.

One person died while being taken to Fakirhat Upazila Health Complex, and two others died while being transferred to Khulna Medical College Hospital.",Specific,"Specific<sep>09 Sep 2024, 12:17 PM<sep>Monday morning<sep>Morning<sep>5<sep>0<sep>Town Naoapara area of Bagerhat<sep>highway<sep>No<sep>pickup van-autorickshaw<sep>Bagerhat"
Four killed in Comilla crash,https://www.dhakatribune.com/bangladesh/nation/357461/four-killed-in-microbus-bus-collision-in-comilla,6/9/2024,"Four passengers of a microbus were killed, and two others were injured in a collision with a bus in Chauddagram, Comilla, on the Dhaka-Chittagong highway.

The incident took place around 7am on Friday in the Nankara area of Batisa union, said Royesh Uddin, the in-charge of Miabazar Highway Police Outpost.

The identities of the deceased are yet to be determined.

According to locals, a microbus was stationed on the Dhaka-bound lane of the highway when a Star Line Paribahan bus, losing control, rear-ended the vehicle.

Four individuals died on the spot, while two others were rushed to the hospital in critical condition.

The police are working to confirm the identities of the deceased, and the bodies have been sent to Comilla Medical College Hospital for autopsy",Specific,"Specific<sep>06 Sep 2024<sep>06 Sep 2024<sep>7am<sep>4<sep>2<sep>Nankara area of Batisa union, Chauddagram, Comilla<sep>highway<sep>No<sep>microbus-bus<sep>Comilla"
"Four dead, eight injured in Tangail bus-truck collision",https://www.dhakatribune.com/bangladesh/nation/360724/four-dead-eight-injured-in-tangail-bus-truck,4/10/2024,"Four people were killed and at least eight others were injured in a head-on collision between a bus and a truck in Kalihati, Tangail, in the early hours of Friday.

The identities of the deceased were not immediately available.

Nannu Khan, in charge of Elenga highway police outpost, said the collision took place at around 12:30am, leaving four bus passengers dead on the spot.

The injured were rushed to Tangail District Hospital, with three reported to be in critical condition.

He added that the bus and truck involved in the accident had been recovered, and the bodies of the deceased were being kept at the police outpost.",Specific,"Specific<sep>04 Oct 2024, 09:45 AM<sep>04 Oct 2024<sep>12:30am<sep>4<sep>8<sep>Kalihati, Tangail<sep>highway<sep>No<sep>bus-truck<sep>Tangail"
18 killed as bus collides with milk tanker in India,https://www.dhakatribune.com/world/south-asia/351639/18-killed-as-bus-collides-with-milk-tanker-in,10/7/2024,"At least 18 people were killed in north India after a bus collided with a milk tanker early on Wednesday, police said.

The collision on an expressway in the Unnao district of Uttar Pradesh state, about 500km southeast of Delhi, also injured at least 19 people, said Arvind Chaurasia, a top district police officer.

The bus was on its way to New Delhi from the eastern state of Bihar, he said, adding that police are still verifying how many passengers were on the bus.

""Injured passenger told us that the bus driver was driving recklessly, and the incident happened when he rammed the bus into a tanker carrying milk on the expressway,"" he said.",Specific,"Specific<sep>10 Jul 2024, 03:46 PM<sep>Wednesday<sep>early on Wednesday<sep>18<sep>19<sep>Unnao district of Uttar Pradesh state, about 500km southeast of Delhi<sep>expressway<sep>No<sep>bus-milk tanker<sep>Foreign"
Bus-covered van collision leaves 4 dead in Bogra,https://www.dhakatribune.com/bangladesh/nation/351483/bus-covered-van-collision-leaves-4-dead-in-bogra,9/7/2024,"A head-on collision between a bus and a covered van has claimed at least four lives and injured seven others in Bogra.

The incident took place in the district’s Shahjahanpur area around 3:40am on Tuesday.

The deceased have been identified as Jamal Hossain, covered van driver Md Hridoy, Md Hossain, Shamim Hossain and Mosammat Jesmin.

The injured have been taken to Shaheed Ziaur Rahman Medical College Hospital.
• Our road accident prevention is spinning out

The matter has been confirmed by Shahjahanpur police station Officer-in-Charge (OC) Shahidul Islam.

The OC and members of the fire service said the Dhaka-bound covered van collided head-on with the Naogaon-bound Shah Fateh Ali Paribahan bus when it reached a filling station.

The driver of the covered van, Md Hridoy, and Mosammat Jesmin died on the spot.",Specific,"Specific<sep>09 Jul 2024, 10:42 AM<sep>09 Jul 2024<sep>3:40am<sep>4<sep>7<sep>Shahjahanpur area, Bogra<sep>Not mentioned<sep>No<sep>bus-covered van<sep>Bogra"
Four of a family killed in Sirajganj road accident,https://www.dhakatribune.com/bangladesh/nation/355248/four-of-a-family-killed-in-sirajganj-road-accident,19-08-2024,"Four members of the same family were killed in a head-on collision between a truck and a car on the Hatikumrul-Banpara highway near Hatikumrul union of Sirajganj early on Monday.

The deceased were Jasim Uddin, 65, his wife Myna Khatun, 60, and their two sons, Jamal Uddin, 45, and Kamal Uddin, 40, all from Narsinghpur village in Bagmara upazila of Rajshahi.

The driver of the car sustained serious injuries and was hospitalized in critical condition.

Md Nurul Islam Babu from the Ullapara fire service said the car was coming from Dhaka to Rajshahi when it collided with a truck coming from the opposite direction at around 3:30am.

Upon receiving the news, fire service personnel rushed to the scene and recovered the bodies, which are now at Solonga police station.

Md Taj Uddin, investigating officer at the police station, confirmed the matter.

It is suspected that the truck driver managed to flee the scene with the vehicle as police have not been patrolling the highway since Hatikumrul highway police station was set on fire during an anti-discrimination protest on August 5.",Specific,Specific<sep>19 Aug 2024<sep>19 Aug 2024<sep>3:30am<sep>4<sep>1<sep>Hatikumrul-Banpara highway near Hatikumrul union<sep>Highway<sep>No<sep>truck-car<sep>Sirajganj
Four killed as private car hits tree in Pabna,https://www.dhakatribune.com/bangladesh/nation/351116/four-killed-as-private-car-hits-tree-in-pabna,5/7/2024,"Four people were killed and three others sustained injuries when a private car hit a roadside tree near Dasuadia Sugar Mill on the Pabna-Ishwardi highway in Ishwardi upazila of Pabna on Thursday night.

The identities of the deceased and injured have not yet been officially confirmed.
• Our road accident prevention is spinning out

Ishwardi Police Station Officer-in-Charge Belal Uddin Jahangir said that the accident occurred around 9pm as the Pabna-bound private car hit the tree after its driver lost control over the wheels, leaving three dead on the spot and four critically injured.

The injured were rushed to a nearby hospital after being rescued.",Specific,Specific<sep>05 Jul 2024<sep>04 Jul 2024<sep>9pm<sep>4<sep>3<sep>near Dasuadia Sugar Mill on the Pabna-Ishwardi highway<sep>highway<sep>No<sep>private car<sep>Pabna
9 killed as car drives into crowd near Seoul city hall,https://www.dhakatribune.com/world/asia/350767/9-killed-as-car-drives-into-crowd-near-seoul-city,1/7/2024,"A car hit pedestrians near Seoul city hall, killing nine people and injuring at least four, South Korean media reports said, citing police and fire officials.

A police official told Reuters officers were investigating at the scene, and declined to give further information.

YTN TV reported that the vehicle rammed into pedestrians standing on the crosswalk after hitting two other cars.

A police officer was administering CPR to a person on the ground at the site of the accident, according to a video provided by a witness to Reuters.",Specific,Specific<sep>01 Jul 2024<sep>01 Jul 2024<sep>Not mentioned<sep>9<sep>4<sep>near Seoul city hall<sep>Not mentioned<sep>Yes<sep>car<sep>Foreign
Two brothers killed as truck rams motorcycle in Dhaka,https://www.dhakatribune.com/bangladesh/dhaka/350447/one-dead-two-injured-in-khilkhet-pickup-truck,28-06-2024,"Two brothers were killed as a sand-laden truck hit their motorcycle in front of Sumatra Filling LPG Station on Kalshi Road in city’s Mirpur cantonment police station area around midnight on Thursday.

The deceased were identified as Sifatur Rahman Safin alias Rahul, 22 and his younger brother Rafi, 16.

Bachchu Miah, officer-in-charge (OC) of Dhaka Medical College and Hospital (DMCH) police outpost, confirmed the matter on Friday saying that Both were sons of Zahirul Islam Ponir, a resident of Baunia Badh area of Mirpur.

Sub-Inspector (SI) Tajul Islam of Cantonment Police Station said that they were heading towards Kalshi area from ECB Chattar and suddenly a truck hit the motorcycle, leaving them critically injured.

They were rushed to Kurmitola General Hospital and subsequently transferred them to DMCH, he said, adding that Rahul was declared dead around 3.30am while Rafi succumbed to his injuries around 8:30am, he said.

The bodies were handed over to the family, he said.

The driver fled the spot with the truck, he said, adding that legal action was taken in this regard.",Specific,"Specific<sep>28 Jun 2024, 01:57 PM<sep>Thursday, January 02, 2025<sep>midnight<sep>2<sep>0<sep>Kalshi Road in city’s Mirpur cantonment police station area<sep>Urban street<sep>No<sep>truck-motorcycle<sep>Dhaka"
Eid journey: Road accidents kill 262 people in 13 days,https://www.dhakatribune.com/bangladesh/350083/eid-journey-road-accidents-kill-262-people-in-13,24-06-2024,"At least 262 people were killed and 543 were injured in 251 road crashes in the 13 days centring the Eid-ul-Azha holiday, Road Safety Foundation said on Monday.

Of the casualties, 104 were killed in 129 bike-related crashes between June 11 and June 23, which is 39.69% of the total deaths, RSF said through a press release.

The statistics indicated that bike-related deaths rose by 13.31% compared to the same period last year.

The foundation prepared the report compiling several media reports.

Referring to IRAP (International Road Assessment Program) method, the organization said the country incurred Tk998.55 crore loss of human resources due to the road crashes.",General,General
9 killed as microbus carrying wedding party falls into canal in Barguna,https://www.dhakatribune.com/bangladesh/nation/349937/7-killed-as-microbus-carrying-wedding-party-falls,22-06-2024,"Nine people including three children were killed in a road accident after a microbus carrying a wedding party plunged into a canal after a bridge collapsed in Amtali, Barguna on Saturday.

The accident took place on a Haldiya bridge connecting Naura and Haldiya Bazar around 2pm, said Amtali police station Officer-in-Charge (OC) Shakhawat Hossain Tipu.

The tragic end of those people left the whole area in mourning, with the cries of the bereaved filling the air.

The bride’s family members and relatives were traveling in a microbus and an auto-rickshaw to the groom’s house around 1:30pm. As the vehicles crossed the Haldiya Bridge, the central portion of the bridge collapsed, causing the vehicles to plunge into the river. The passengers in the auto-rickshaw managed to swim to safety, but those in the microbus drowned, said the OC.

A total of nine bodies, including six women and three children, have been recovered, said the police official.

The victims were relatives of the bride.

The deceased are Rubia, 45, Raiti, 22, Fatema, 55, Rukaiyat Islam, 4, Tahiya Mehjabin Azad, 7, Tasfia, 14, Hridi, 4 and Ruby Begum, 35, of Madaripur's Shibchar upazila and Jakia Begum, 35 and her daughter Hridi of Amtali upazila's Haldia village.

The police, fire service, and residents carried out the rescue operations.

Asaduzzaman, chairman of the Haldia Union Parishad, said that the vehicle carrying mostly women and children sank in the canal while crossing a dilapidated bridge.

Eyewitnesses said that as soon as the microbus and auto-rickshaw reached the middle of the bridge, it collapsed with a thud, causing the vehicles to fall into the river.

They immediately tried to rescue the victims with the help of locals.

Later, the fire service and police joined the rescue operation.

Local residents reported that the bridge was quite old and had not been repaired for a long time.

Abul Kalam Azad, husband of a deceased, said: “I have lost everything. My two daughters and wife are dead. I am now helpless.”

Sohail Mia, who was in the microbus, said: “There were 16 passengers in the microbus heading to the groom’s house. As soon as we got on the Haldiya Hat Bridge, it collapsed, and the microbus fell into the river. Three of us managed to swim to safety. Later, locals, the fire service, and the police recovered nine bodies.”

The bodies were taken to Amtali Upazila Health Complex.

Following the incident, thousands of people protested, demanding justice for the victims and punishment for the contractor, one Shahidul Islam Mridha, who constructed the bridge around 10 years back.

Hearing the incident, local lawmaker Golam Sarwar Tuku, Deputy Commissioner Md Rafiqul Islam, Upazila Parishad Chairman Alhaj Golam Sarwar Forkan and others rushed to the spot.

Lawmaker Tuku said: “I have expressed condolences to the victims’ families at the hospital and visited the site. I have also calmed the agitated people at the site. If irregularities in the bridge construction led to this incident, an investigation will be conducted, and legal action will be taken. Financial assistance will be provided to the victims’ families.”

Deputy Commissioner Md Rafiqul Islam said he has visited the site. Legal action will be taken against the contractor for irregularities in the bridge construction.”

The bodies were handed over to the families without autopsies upon appeals from the victims’ families, said the OC.

Amtali Fire Service In-Charge Md Hanif said despite four hours of efforts they could not recover the microbus. The rescue operation was still going on.

There are allegations that contractor Mridha built the bridge poorly. As a result, the central beam of the bridge broke within five years of its construction. For the past ten years, around 50,000 people from Haldiya Union, Chawra, and nearby areas have been using the weakened bridge.

It was learned that in the fiscal year 2008-09, the iron bridge over the Chawra River at Haldiya Hat, was built at a cost of approximately Tk2 crore.

The construction contract was awarded to Mridha, the then-chairman of Haldiya Union Parishad and president of the local Awami League.

Denying the allegation, contractor Mridha claimed: “I constructed the bridge properly. There were no irregularities in the construction.”

Amtali Upazila Engineer Abdullah Al Mamun said: “The bridge was constructed before I joined Amtali. I have no knowledge about it.”",Specific,"Specific<sep>22 Jun 2024, 04:30 PM<sep>22 Jun 2024<sep>2pm<sep>9<sep>0<sep>Haldiya bridge connecting Naura and Haldiya Bazar, Amtali<sep>Bridge<sep>No<sep>microbus-auto-rickshaw<sep>Barguna"
Why did safety measures fail to stem road accidents during Eid?,https://www.dhakatribune.com/bangladesh/350445/why-did-safety-measures-fail-to-stem-road,28-06-2024,"Despite various safety measures taken by law enforcement, the number of road accidents and fatalities increased during this year’s Eid-ul-Azha trips compared to last year, raising questions about their effectiveness.

Almost every day, reports of road accidents come from various parts of the country. Especially during the two Eids each year, millions of people travel to different destinations, significantly increasing the number of vehicles on the roads and, consequently, road accidents.

This year the police took different initiatives to reduce the number of accidents and bring order to the highways before Eid-ul-Azha: speed guns were installed on the highways, temporary help camps and thousands of checkpoints were set up at entry points to make the journey safe and comfortable.

Nonetheless, the number of road crashes increased this year.

Transport sector experts say merely improving road infrastructure will not suffice; the government must also implement strategic transport planning. Without this, road discipline cannot be achieved.

According to the Bangladesh Jatri Kalyan Samity, a passenger welfare association, in the 15 days before and after this year’s Eid-ul-Azha, there were 309 road accidents across the country's roads and highways, resulting in 458 fatalities and 1,840 injuries.

Its data from last year's Eid-ul-Azha shows that during the 15-day period from June 22 to July 6, there were 277 road accidents, resulting in 299 deaths and 544 injuries. So this year’s Eid-ul-Azha saw a 53.17% increase in fatalities and a 238.23% increase in injuries.

Bangladesh Jatri Kalyan Samity Secretary General Mozammel Haque Chowdhury said millions of vehicles were added to the roads every year, especially small ones, leading to an increase in accidents.

“The government is indifferent to implementing strategic transport plans. Even though the new Road Transport Act has been enacted, why are road accidents not decreasing?

“An official audit is necessary. There is no research on road safety. The actual culprits of road accidents are not being identified. No engineer is being held accountable for road defects. Due to weak investigations and lengthy legal processes, victims of road accidents are deprived of legal protection. Despite the government's goodwill, road accidents are not decreasing,” he added.

What does Police Headquarters say?

The Police Headquarters said this year’s Eid journey had been safe and comfortable due to the multifaceted measures taken by the police, including the use of speed guns on highways.

From June 13 to 18, the police used speed guns at 556 locations on various highways and roads. During the same period, there were 1,458 prosecutions for speeding.

It further stated that due to the measures for Eid-ul-Azha, traffic had been normal and people's Eid journeys had been safe and comfortable.

Generally, speeding is considered one of the main causes of road accidents.

By preventing unauthorized vehicles from transporting passengers and controlling vehicle speeds through the use of speed guns, road accidents had been reduced, the Police Headquarters claimed.
• Eid Holidays: BJKS-BRTA at loggerheads over number of road accident victims

It added that legal actions were taken against 583 vehicles for transporting passengers in non-public transport from June 13 to 18.

Additionally, the police said it had taken measures against various types of vehicles through 2,014 checkpoints, and there had been 7,102 prosecutions during the period.

The Police Headquarters mentioned that these activities would continue to ensure safe and comfortable travel for the public.

Highway Police Deputy Inspector General (DIG) Mahfuzur Rahman said there were 22,000 kilometres of roads and highways across the country, with the Highway Police being responsible for only 3,000 kilometres.

“The remaining roads are secured by district and station police. The Highway Police has a limited workforce. Many of our 2,900 personnel are engaged in office work and do not go to the field. It is not possible to provide complete security with such a small number of people. Given our limitations, we monitor roads and highways using technology and CCTV cameras to ensure smooth travel for passengers,” the senior police officer added.

“During Eid, about 15 million people move from one place to another. Usually, 100,000 vehicles use the highways daily, increasing to 170,000 to 190,000 during Eid.

“Additionally, as the population increases, so does the number of vehicles. The existing workforce is too small to manage these vehicles effectively. We are discussing with the relevant government departments how to solve these problems,” he continued.

Kazi Md Shifun Newaz, assistant professor at Bangladesh University of Engineering and Technology’s Accident Research Institute, said several issues needed to be addressed to bring order to the roads and reduce accidents. “The government must fully implement the speed limits it has set; speed cameras need to be installed on roads; safety must be ensured; faulty roads should be repaired; and defective vehicles should be discarded.”

On the same topic, Road Safety Foundation Executive Director Saidur Rahman said although the government was improving road infrastructure, it had not given much attention to the salaries, benefits and working hours of drivers and their assistants.

“Everything needs to be brought under a specific policy. All types of extortion on roads and highways must be completely stopped.”

He also called for weeding out unskilled drivers and unfit vehicles, demanding putting an end to the transportation of excess passengers.",General,General
